geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0061564	axon development	http://amigo.geneontology.org/amigo/term/GO:0061564	480	6	2.0692579505300355	2.899590163934426	0.016979179388275423	0.3532955654107244	1268;1947;2044;8829;53358;134430	CNR1;EFNB1;EPHA5;NRP1;SHC3;WDR36
GO:0031346	positive regulation of cell projection organization	http://amigo.geneontology.org/amigo/term/GO:0031346	349	5	1.50452296819788	3.323312508807365	0.017087632621489046	0.3532955654107244	1268;1627;5587;8829;23603	CNR1;CORO1C;DBN1;NRP1;PRKD1
GO:1902850	microtubule cytoskeleton organization involved in mitosis	http://amigo.geneontology.org/amigo/term/GO:1902850	127	3	0.5474911660777385	5.479540467277656	0.017412023096553986	0.3532955654107244	4134;10274;84722	MAP4;PSRC1;STAG1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	357	5	1.539010600706714	3.248840519814483	0.01865936993381956	0.3667732402616407	92;3488;5587;6422;8829	ACVR2A;IGFBP5;NRP1;PRKD1;SFRP1
GO:0007517	muscle organ development	http://amigo.geneontology.org/amigo/term/GO:0007517	368	5	1.5864310954063605	3.1517284390591587	0.02097306264798038	0.3847405334090641	2066;7273;8320;55553;84466	EOMES;ERBB4;MEGF10;SOX6;TTN
GO:0045926	negative regulation of growth	http://amigo.geneontology.org/amigo/term/GO:0045926	246	4	1.0604946996466431	3.7718246034919365	0.021478851323907366	0.3847405334090641	3488;6422;8829;84722	IGFBP5;NRP1;PSRC1;SFRP1
GO:0045927	positive regulation of growth	http://amigo.geneontology.org/amigo/term/GO:0045927	246	4	1.0604946996466431	3.7718246034919365	0.021478851323907366	0.3847405334090641	1982;2066;6422;8829	EIF4G2;ERBB4;NRP1;SFRP1
GO:0035051	cardiocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0035051	139	3	0.5992226148409894	5.006486613987499	0.022063103519615712	0.3847405334090641	7273;8320;55553	EOMES;SOX6;TTN
GO:0090287	regulation of cellular response to growth factor stimulus	http://amigo.geneontology.org/amigo/term/GO:0090287	250	4	1.0777385159010602	3.711475409836065	0.022631796082886124	0.3847405334090641	92;1745;6422;7314	ACVR2A;DLX1;SFRP1;UBB
GO:0098727	maintenance of cell number	http://amigo.geneontology.org/amigo/term/GO:0098727	142	3	0.6121554770318022	4.900715770030016	0.02332194242887764	0.3860395207306325	1656;6422;8320	DDX6;EOMES;SFRP1
GO:0097485	neuron projection guidance	http://amigo.geneontology.org/amigo/term/GO:0097485	256	4	1.1036042402826856	3.6244877049180326	0.024431264950154685	0.394032452657623	1947;2044;8829;53358	EFNB1;EPHA5;NRP1;SHC3
GO:0046530	photoreceptor cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0046530	58	2	0.25003533568904596	7.99886941775014	0.02588949896320203	0.4071123711963519	1745;7068	DLX1;THRB
GO:0007548	sex differentiation	http://amigo.geneontology.org/amigo/term/GO:0007548	264	4	1.1380918727915195	3.5146547441629408	0.02696264406783544	0.4136464175284998	92;6422;7022;7314	ACVR2A;SFRP1;TFAP2C;UBB
GO:0071772	response to BMP	http://amigo.geneontology.org/amigo/term/GO:0071772	155	3	0.6681978798586573	4.489687995769434	0.02922122425211815	0.437622620347198	92;1745;6422	ACVR2A;DLX1;SFRP1
GO:0030522	intracellular receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0030522	273	4	1.1768904593639578	3.398787005344382	0.02999288595097127	0.4387331456549053	6422;7068;7314;9745	SFRP1;THRB;UBB;ZNF536
GO:0034330	cell junction organization	http://amigo.geneontology.org/amigo/term/GO:0034330	277	4	1.1941342756183746	3.3497070485885065	0.031402190941201225	0.4489085932276266	6422;8829;23603;23705	CADM1;CORO1C;NRP1;SFRP1
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	426	5	1.8364664310954064	2.722619872238898	0.03627191316901612	0.49515755874063055	92;6422;7022;7314;8320	ACVR2A;EOMES;SFRP1;TFAP2C;UBB
GO:0007051	spindle organization	http://amigo.geneontology.org/amigo/term/GO:0007051	169	3	0.7285512367491166	4.117761179551848	0.036377423236006345	0.49515755874063055	4134;10274;84722	MAP4;PSRC1;STAG1
GO:0031098	stress-activated protein kinase signaling cascade	http://amigo.geneontology.org/amigo/term/GO:0031098	294	4	1.2674204946996468	3.1560165049626403	0.03782488949119589	0.49515755874063055	6422;7314;9043;57630	SFRP1;SH3RF1;SPAG9;UBB
GO:0048732	gland development	http://amigo.geneontology.org/amigo/term/GO:0048732	431	5	1.8580212014134276	2.6910349549275416	0.03784576777381965	0.49515755874063055	2066;3488;6422;7068;8829	ERBB4;IGFBP5;NRP1;SFRP1;THRB
GO:0007369	gastrulation	http://amigo.geneontology.org/amigo/term/GO:0007369	173	3	0.7457950530035335	4.022552828579551	0.0385734823184275	0.49515755874063055	92;6422;8320	ACVR2A;EOMES;SFRP1
GO:0031016	pancreas development	http://amigo.geneontology.org/amigo/term/GO:0031016	76	2	0.32763250883392225	6.104400345125108	0.042497165684538096	0.5225411940661866	4212;387597	ILDR2;MEIS2
GO:0031032	actomyosin structure organization	http://amigo.geneontology.org/amigo/term/GO:0031032	181	3	0.7802826855123676	3.8447604383660896	0.04316497379215223	0.5225411940661866	6422;7273;8829	NRP1;SFRP1;TTN
GO:0023061	signal release	http://amigo.geneontology.org/amigo/term/GO:0023061	449	5	1.935618374558304	2.583153820876994	0.0438585678011425	0.5225411940661866	1268;2044;4826;6422;387597	CNR1;EPHA5;ILDR2;NNAT;SFRP1
GO:0048638	regulation of developmental growth	http://amigo.geneontology.org/amigo/term/GO:0048638	309	4	1.3320848056537102	3.0028118202557166	0.04407818081932868	0.5225411940661866	2066;6422;8829;134430	ERBB4;NRP1;SFRP1;WDR36
GO:0048013	ephrin receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048013	79	2	0.340565371024735	5.872587673791243	0.045568300562477404	0.5225411940661866	1947;2044	EFNB1;EPHA5
GO:0043087	regulation of GTPase activity	http://amigo.geneontology.org/amigo/term/GO:0043087	456	5	1.9657950530035337	2.543500143802128	0.0463447525522227	0.5225411940661866	2044;6422;8829;23603;89839	ARHGAP11B;CORO1C;EPHA5;NRP1;SFRP1
GO:0006643	membrane lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006643	190	3	0.8190812720848056	3.6626402070750648	0.04864406318887338	0.5225411940661866	5587;29906;80055	PGAP1;PRKD1;ST8SIA5
GO:0060491	regulation of cell projection assembly	http://amigo.geneontology.org/amigo/term/GO:0060491	190	3	0.8190812720848056	3.6626402070750648	0.04864406318887338	0.5225411940661866	4134;8829;23603	CORO1C;MAP4;NRP1
GO:0022604	regulation of cell morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022604	463	5	1.9959717314487633	2.5050454979995043	0.04891432401856699	0.5225411940661866	1627;4289;8829;23603;134430	CORO1C;DBN1;MKLN1;NRP1;WDR36
GO:0070997	neuron death	http://amigo.geneontology.org/amigo/term/GO:0070997	320	4	1.3795053003533568	2.8995901639344264	0.04901419785358507	0.5225411940661866	1745;7068;7314;8829	DLX1;NRP1;THRB;UBB
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	326	4	1.4053710247349824	2.8462234738006638	0.051831295616474815	0.5357165022004218	4289;6422;8829;23603	CORO1C;MKLN1;NRP1;SFRP1
GO:2000147	positive regulation of cell motility	http://amigo.geneontology.org/amigo/term/GO:2000147	471	5	2.0304593639575974	2.4624969545090667	0.05195342867126507	0.5357165022004218	3488;5587;8829;9043;154810	AMOTL1;IGFBP5;NRP1;PRKD1;SPAG9
GO:0048010	vascular endothelial growth factor receptor signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0048010	86	2	0.3707420494699647	5.394586351505909	0.053039895226098865	0.5371953104586941	5587;8829	NRP1;PRKD1
GO:0051341	regulation of oxidoreductase activity	http://amigo.geneontology.org/amigo/term/GO:0051341	88	2	0.3793639575971732	5.271982116244411	0.05524994484677359	0.5371953104586941	92;1268	ACVR2A;CNR1
GO:0051493	regulation of cytoskeleton organization	http://amigo.geneontology.org/amigo/term/GO:0051493	482	5	2.077879858657244	2.4062988912318892	0.056311108184691205	0.5371953104586941	2044;6422;8829;10274;84722	EPHA5;NRP1;PSRC1;SFRP1;STAG1
GO:0035249	synaptic transmission, glutamatergic	http://amigo.geneontology.org/amigo/term/GO:0035249	89	2	0.3836749116607774	5.212746362129305	0.05636707550123021	0.5371953104586941	1268;53358	CNR1;SHC3
GO:2001023	regulation of response to drug	http://amigo.geneontology.org/amigo/term/GO:2001023	89	2	0.3836749116607774	5.212746362129305	0.05636707550123021	0.5371953104586941	1268;9688	CNR1;NUP93
GO:0007229	integrin-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007229	94	2	0.4052296819787986	4.935472619462853	0.062070311014393864	0.5726566248991962	5587;8829	NRP1;PRKD1
GO:1990823	response to leukemia inhibitory factor	http://amigo.geneontology.org/amigo/term/GO:1990823	95	2	0.4095406360424028	4.883520276100087	0.06323387531557956	0.5726566248991962	6656;7520	SOX1;XRCC5
GO:0031532	actin cytoskeleton reorganization	http://amigo.geneontology.org/amigo/term/GO:0031532	96	2	0.4138515901060071	4.8326502732240435	0.06440488159497026	0.5726566248991962	4289;8829	MKLN1;NRP1
GO:0043687	post-translational protein modification	http://amigo.geneontology.org/amigo/term/GO:0043687	351	4	1.5131448763250883	2.6435010041567417	0.06450989331461399	0.5726566248991962	3488;8139;10238;55958	DCAF7;GAN;IGFBP5;KLHL9
GO:0097191	extrinsic apoptotic signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0097191	214	3	0.9225441696113075	3.2518768193657115	0.06482805446503337	0.5726566248991962	6422;8829;57630	NRP1;SFRP1;SH3RF1
GO:0044706	multi-multicellular organism process	http://amigo.geneontology.org/amigo/term/GO:0044706	215	3	0.9268551236749117	3.236751810903545	0.06555051986127525	0.5726566248991962	92;1268;3488	ACVR2A;CNR1;IGFBP5
GO:0060560	developmental growth involved in morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060560	220	3	0.9484098939929329	3.163189269746647	0.06921882204132856	0.5930382023108347	6422;8829;134430	NRP1;SFRP1;WDR36
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	361	4	1.5562544169611308	2.570273829526361	0.07000119305567554	0.5930382023108347	92;3488;5587;6422	ACVR2A;IGFBP5;PRKD1;SFRP1
GO:0033500	carbohydrate homeostasis	http://amigo.geneontology.org/amigo/term/GO:0033500	222	3	0.9570318021201414	3.1346920691182985	0.07071202730256376	0.5930382023108347	1268;2044;3488	CNR1;EPHA5;IGFBP5
GO:0043491	protein kinase B signaling	http://amigo.geneontology.org/amigo/term/GO:0043491	226	3	0.9742756183745583	3.0792107935586825	0.07374223944494496	0.607611934350652	2066;3488;114882	ERBB4;IGFBP5;OSBPL8
GO:1903509	liposaccharide metabolic process	http://amigo.geneontology.org/amigo/term/GO:1903509	105	2	0.45265017667844526	4.418423106947697	0.07526525954339569	0.607611934350652	29906;80055	PGAP1;ST8SIA5
GO:0007015	actin filament organization	http://amigo.geneontology.org/amigo/term/GO:0007015	371	4	1.5993639575971732	2.5009942114798283	0.07572820670575464	0.607611934350652	1627;6422;7273;8829	DBN1;NRP1;SFRP1;TTN
GO:0030099	myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	372	4	1.6036749116607774	2.4942711087607967	0.07631374056232354	0.607611934350652	92;4212;6422;55553	ACVR2A;MEIS2;SFRP1;SOX6
GO:2001233	regulation of apoptotic signaling pathway	http://amigo.geneontology.org/amigo/term/GO:2001233	375	4	1.6166077738515903	2.47431693989071	0.07808423687098087	0.6120990332200992	6422;7314;8829;57630	NRP1;SFRP1;SH3RF1;UBB
GO:0015850	organic hydroxy compound transport	http://amigo.geneontology.org/amigo/term/GO:0015850	233	3	1.004452296819788	2.986702314782242	0.07918340892106523	0.6120990332200992	1268;80055;114882	CNR1;OSBPL8;PGAP1
GO:0002244	hematopoietic progenitor cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0002244	109	2	0.4698939929328622	4.256279139720259	0.08026801855655818	0.6120990332200992	6422;7520	SFRP1;XRCC5
GO:0071103	DNA conformation change	http://amigo.geneontology.org/amigo/term/GO:0071103	235	3	1.0130742049469965	2.9612835716777117	0.08076982473333583	0.6120990332200992	4171;7273;7520	MCM2;TTN;XRCC5
GO:1903706	regulation of hemopoiesis	http://amigo.geneontology.org/amigo/term/GO:1903706	383	4	1.6510954063604242	2.422634079527458	0.08290675221924326	0.6208136564988573	92;4212;6422;57630	ACVR2A;MEIS2;SFRP1;SH3RF1
GO:0048872	homeostasis of number of cells	http://amigo.geneontology.org/amigo/term/GO:0048872	239	3	1.0303180212014134	2.9117223403525623	0.08398432309092885	0.6214839908728735	92;55553;387597	ACVR2A;ILDR2;SOX6
GO:0051090	regulation of DNA-binding transcription factor activity	http://amigo.geneontology.org/amigo/term/GO:0051090	392	4	1.6898939929328622	2.3670123787219803	0.08850585631638885	0.6473277165466115	2044;5587;7314;8320	EOMES;EPHA5;PRKD1;UBB
GO:0051047	positive regulation of secretion	http://amigo.geneontology.org/amigo/term/GO:0051047	401	4	1.7286925795053005	2.3138874126160007	0.09428575426223174	0.6816751658729168	1268;4826;7273;23705	CADM1;CNR1;NNAT;TTN
GO:0007498	mesoderm development	http://amigo.geneontology.org/amigo/term/GO:0007498	122	2	0.5259363957597173	3.8027411986025266	0.09720130938707283	0.6947684500507819	92;8320	ACVR2A;EOMES
GO:0048706	embryonic skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0048706	124	2	0.5345583038869258	3.741406663141195	0.09989103271169464	0.7005861484907097	92;1745	ACVR2A;DLX1
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	410	4	1.7674911660777386	2.263094762095162	0.10024285113539566	0.7005861484907097	794;1268;1627;10590	CALB2;CNR1;DBN1;SCGN
GO:0042063	gliogenesis	http://amigo.geneontology.org/amigo/term/GO:0042063	262	3	1.129469964664311	2.656113127268177	0.1035020615602027	0.7131684045734926	1745;55553;58158	DLX1;NEUROD4;SOX6
GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	416	4	1.793356890459364	2.230453972257251	0.10431080003300686	0.7131684045734926	1268;7314;7520;23705	CADM1;CNR1;UBB;XRCC5
GO:0051346	negative regulation of hydrolase activity	http://amigo.geneontology.org/amigo/term/GO:0051346	421	4	1.8149116607773852	2.2039640200926756	0.1077587474315348	0.7268201414127844	4171;25824;57630;57709	MCM2;PRDX5;SH3RF1;SLC7A14
GO:0042737	drug catabolic process	http://amigo.geneontology.org/amigo/term/GO:0042737	131	2	0.5647349823321555	3.5414841696909023	0.10946660377959427	0.7268201414127844	4128;25824	MAOA;PRDX5
GO:0005996	monosaccharide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005996	269	3	1.1596466431095407	2.5869949418002314	0.10977410720860814	0.7268201414127844	2523;3488;8277	FUT1;IGFBP5;TKTL1
GO:0038127	ERBB signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0038127	134	2	0.5776678445229683	3.4621972106679713	0.11364333427787665	0.7441260573937604	2066;53358	ERBB4;SHC3
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	275	3	1.185512367491166	2.5305514157973175	0.1152661542378004	0.7441260573937604	1268;4212;53358	CNR1;MEIS2;SHC3
GO:0048285	organelle fission	http://amigo.geneontology.org/amigo/term/GO:0048285	433	4	1.8666431095406362	2.1428841858175898	0.11624437206915239	0.7441260573937604	7273;7314;10274;84722	PSRC1;STAG1;TTN;UBB
GO:0070661	leukocyte proliferation	http://amigo.geneontology.org/amigo/term/GO:0070661	277	3	1.1941342756183746	2.51228028644138	0.11711999949440743	0.7441260573937604	1947;23705;57630	CADM1;EFNB1;SH3RF1
GO:2000241	regulation of reproductive process	http://amigo.geneontology.org/amigo/term/GO:2000241	138	2	0.5949116607773852	3.361843668329769	0.11927611661623205	0.7468412422513322	1268;6422	CNR1;SFRP1
GO:0090305	nucleic acid phosphodiester bond hydrolysis	http://amigo.geneontology.org/amigo/term/GO:0090305	280	3	1.2070671378091873	2.4853629976580796	0.11992204366833792	0.7468412422513322	7314;10535;80055	PGAP1;RNASEH2A;UBB
GO:0061351	neural precursor cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0061351	140	2	0.6035335689045936	3.3138173302107727	0.1221187172024587	0.7530654227484954	1627;58158	DBN1;NEUROD4
GO:0006644	phospholipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006644	445	4	1.918374558303887	2.0850985448517223	0.12501877605561607	0.7561231744132934	2066;5587;80055;114882	ERBB4;OSBPL8;PGAP1;PRKD1
GO:0042110	T cell activation	http://amigo.geneontology.org/amigo/term/GO:0042110	445	4	1.918374558303887	2.0850985448517223	0.12501877605561607	0.7561231744132934	1947;8320;23705;57630	CADM1;EFNB1;EOMES;SH3RF1
GO:0007059	chromosome segregation	http://amigo.geneontology.org/amigo/term/GO:0007059	288	3	1.2415547703180212	2.4163251366120218	0.12751591879387814	0.7566746502014089	7273;10274;84722	PSRC1;STAG1;TTN
GO:0032103	positive regulation of response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0032103	288	3	1.2415547703180212	2.4163251366120218	0.12751591879387814	0.7566746502014089	1268;5587;8829	CNR1;NRP1;PRKD1
GO:0070555	response to interleukin-1	http://amigo.geneontology.org/amigo/term/GO:0070555	147	2	0.6337102473498234	3.1560165049626403	0.13219703660500992	0.7771208974257126	6422;7314	SFRP1;UBB
GO:0016052	carbohydrate catabolic process	http://amigo.geneontology.org/amigo/term/GO:0016052	149	2	0.6423321554770318	3.1136538673121357	0.13511150257634874	0.782532678608753	2523;8277	FUT1;TKTL1
GO:0048871	multicellular organismal homeostasis	http://amigo.geneontology.org/amigo/term/GO:0048871	459	4	1.9787279151943464	2.021500767884567	0.13560582188927517	0.782532678608753	1268;7314;134430;387597	CNR1;ILDR2;UBB;WDR36
GO:0048771	tissue remodeling	http://amigo.geneontology.org/amigo/term/GO:0048771	152	2	0.6552650176678445	3.052200172562554	0.13951057391399857	0.7945574756662365	3488;6422	IGFBP5;SFRP1
GO:1901342	regulation of vasculature development	http://amigo.geneontology.org/amigo/term/GO:1901342	301	3	1.2975971731448763	2.3119655792168183	0.14021602511757114	0.7945574756662365	5587;6422;8829	NRP1;PRKD1;SFRP1
GO:0002694	regulation of leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002694	467	4	2.0132155477031803	1.9868712044090286	0.141818233312607	0.7964613281574091	1268;1947;6422;57630	CNR1;EFNB1;SFRP1;SH3RF1
GO:0050954	sensory perception of mechanical stimulus	http://amigo.geneontology.org/amigo/term/GO:0050954	157	2	0.6768197879858657	2.9549963454108803	0.14691158192624842	0.8177644693062854	7068;80055	PGAP1;THRB
GO:0032147	activation of protein kinase activity	http://amigo.geneontology.org/amigo/term/GO:0032147	312	3	1.345017667844523	2.230453972257251	0.1512875473657671	0.8294219366684238	7314;9043;114882	OSBPL8;SPAG9;UBB
GO:1902903	regulation of supramolecular fiber organization	http://amigo.geneontology.org/amigo/term/GO:1902903	313	3	1.3493286219081273	2.223327921227675	0.15230801895313317	0.8294219366684238	6422;8829;84722	NRP1;PSRC1;SFRP1
GO:0051656	establishment of organelle localization	http://amigo.geneontology.org/amigo/term/GO:0051656	481	4	2.07356890459364	1.9290412733035682	0.15296175620594143	0.8294219366684238	1268;4134;7314;84722	CNR1;MAP4;PSRC1;UBB
GO:0070371	ERK1 and ERK2 cascade	http://amigo.geneontology.org/amigo/term/GO:0070371	317	3	1.3665724381625441	2.195273310234266	0.15641231763758223	0.8342941483009979	2044;2066;8829	EPHA5;ERBB4;NRP1
GO:0033044	regulation of chromosome organization	http://amigo.geneontology.org/amigo/term/GO:0033044	318	3	1.3708833922261485	2.18836993504485	0.1574439138849919	0.8342941483009979	4171;5587;7520	MCM2;PRKD1;XRCC5
